ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,"Zichtbaarheid in catalogus","Korte beschrijving",Beschrijving,"Startdatum actieprijs","Einddatum actieprijs","Btw status",Belastingklasse,"Op voorraad?",Voorraad,"Lage voorraad","Nabestellingen toestaan?","Wordt individueel verkocht?","Gewicht (kg)","Lengte (cm)","Breedte (cm)","Hoogte (cm)","Klantbeoordelingen toestaan?",Aankoopnotitie,Actieprijs,"Reguliere prijs",Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,"Dagen vervaltijd download",Hoofd,"Gegroepeerde producten",Upsells,Cross-sells,"Externe URL","Knop tekst",Positie
10305,simple,,"DORINA RIZA 75G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/DORINA-RIZA.png,,,,,,,,,0
10307,simple,,"EUROCREM 1KG",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"8,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/EUROCREM-1KG.jpg,,,,,,,,,0
10309,simple,,"EUROCREM 100G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,25","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Eurocrem-100g-2.jpg,,,,,,,,,0
10311,simple,,"EUROCREM 300G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Eurocrem-300g-1.jpg,,,,,,,,,0
10313,simple,,"DORINA KRAS 80G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/dorina-noisette-kras-80g_600x600.jpg,,,,,,,,,0
10315,simple,,"EUROCREM BLOK 90G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,25","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/eurocrem-blok-90g-1.jpg,,,,,,,,,0
10317,simple,,"DORINA RICE 220G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"3,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/DORINA-RIZA-1.png,,,,,,,,,0
10319,simple,,"ROSHEN WAFERS CHOCO 72G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,25","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ROSHEN-WAFERS-CHOCO.jpeg,,,,,,,,,0
10321,simple,,"EUROVAFEL 180G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/EUROVAFEL-180G.jpg,,,,,,,,,0
10323,simple,,"EUROCREM ISLERI 250G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,75","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/isleri-eurocrem-duopack250g_2048x.webp,,,,,,,,,0
